Maximum 5-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      NDJ      FMA      MJJ      ASO
20th Century Model Run
2085     85.48    17.63    71.17   100.33    25.35
2086     31.74    46.90    21.93    30.56    26.75
2087     32.45    27.49    43.29    44.42    30.78
2088     35.19    17.07    54.82    38.95    45.87
2089     48.67    51.33    26.79    29.07    28.83
2090     78.62    61.38    49.52    88.96     7.83
2091     29.27    30.43    73.97    39.55    55.62
2092     68.55    60.39   118.40    28.06    26.67
2093     41.48    27.73    42.95    67.92    24.55
2094     57.07    39.75    42.44    55.62    27.52
2095     33.28    28.80    38.83    27.18    24.86
2096     79.50    35.27    22.28   108.36    59.43
2097     30.61    45.70    55.38    36.95    18.84
2098     43.71    52.43    42.80    48.59    34.14
2099    131.59    10.99    49.12   145.50    36.47
2100       NaN      NaN    36.87    70.69    29.19
