Maximum 5-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      NDJ      FMA      MJJ      ASO
        109.78    73.15    89.14    90.75    82.96
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      NDJ      FMA      MJJ      ASO
20th Century Model Run
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     12.93    25.61    20.42    15.85   -15.45
2047     29.35   -21.43     1.45     7.99    51.63
2048      9.73    -2.33   -26.68    -8.46    35.47
2049      8.45    -6.23    12.32    -9.43    24.90
2050      0.13    -7.03   -19.58    18.86    -6.43
2051     -6.72    16.04    -3.05   -12.12     7.02
2052     22.98    50.86    20.23    21.35     0.65
2053     15.84     9.28   -24.91    12.10     3.89
2054      7.93   -24.15    -2.55     8.85    19.85
2055     -6.86    -1.12     7.06    -0.89    -3.82
2056      2.82     7.92    -0.86    -6.28    24.97
2057     20.62   -22.13    -5.21    21.73    35.77
2058     14.32    11.02    12.49    11.09    19.06
2059     18.99    50.31     8.34    -0.20   -10.29
2060      9.02   -23.54    23.25    13.92     3.36
2061      3.50   -19.17    14.99     3.96    11.24
2062     -5.88   -12.57    -4.51     1.77     6.63
2063     -6.94    -7.57   -13.79     2.51     7.48
2064     22.17   -15.24    12.48    35.84     1.80
2065     14.59   -11.14     3.65    33.40     2.23
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081    -11.03    -3.39    -1.50   -12.92     7.48
2082     29.09    -4.88     9.77    30.58    22.75
2083     28.92     0.65    11.78    44.81    15.77
2084     -2.76    -3.95     7.91     0.54     6.43
2085     17.85   -25.85    13.14     3.64    25.35
2086      5.54    -7.58    21.93    12.34   -17.16
2087     -8.30   -16.02     4.20    -7.66     9.06
2088     25.99    17.07     8.78    38.95     0.32
2089     13.47     4.54    11.17     7.92    26.74
2090     45.02     1.19   -17.78    63.72     3.78
2091     28.98   -20.39   -14.01     4.10    55.62
2092     28.68     3.42    25.10   -19.89    26.67
2093     16.52    -0.40     9.15    30.71    -3.18
2094     31.54    -1.93   -10.01    43.61     7.13
2095     29.57     2.06    38.24    -9.44    -1.83
2096      8.95   -16.43     4.94    -8.35    22.36
2097     10.10    36.50    -7.81    -5.35    12.41
2098      4.74    -0.19    -6.60    21.70     2.31
2099      5.28     4.08    10.48   -10.66     6.25
2100    -14.58     7.33   -12.86    -0.57     1.81
