Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     JFM     AMJ     JAS     OND
 2079  -25.39   -2.21  -61.22  -94.49   56.35
 2080  -51.50  -14.01  -59.49 -108.31  -24.20
 2081   -1.23   13.07  -38.11   39.63  -19.51
 2082   -8.05   -4.27   -1.92  -53.95   27.92
 2083  -13.59  -12.25   -7.38  -18.05  -16.67
 2084    5.99   -2.35  -28.55   28.89   25.97
 2085    1.95   -7.13  -17.82    1.32   31.44
 2086   -8.21   -4.62  -26.45  -18.96   17.20
 2087   -2.86    2.03   27.41  -28.08  -12.81
 2088   18.53    5.91    5.56   -9.63   72.29
 2089    9.51   -9.93   78.71  -76.97   46.23
 2090  -17.81    2.84  -33.66  -39.50   -0.91
 2091   -7.07   -6.87  -25.03    9.57   -5.97
 2092   -6.54  -19.44   29.17  -67.62   31.74
 2093   15.62   -5.11  -51.80   56.96   62.42
 2094  -10.62    0.51  -17.20  -31.89    6.08
 2095    2.76   -3.56  -28.22  -24.48   67.31
 2096  -16.11   -3.63   20.00  -53.28  -27.54
 2097    2.98   -0.64  -24.39   44.26   -7.31
 2098   -0.20    2.67  -45.50    5.18   36.83
 2099  -15.34    5.27  -69.83    6.65   -3.46
 2100   25.21    9.66   18.00   18.86   54.33
