Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual     NDJ     FMA     MJJ     ASO
        166.8   127.4   171.0   159.1   209.6
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual     NDJ     FMA     MJJ     ASO
20th Century Model Run
 2077    8.44   30.68    1.40    3.59    4.35
 2078   22.66  -26.84   -2.29   46.72   54.83
 2079    0.67  -14.11   32.38  -20.47   -0.17
 2080    2.18   18.33  -14.44  -13.58   17.87
 2081    1.64    1.07   -2.49    8.14    0.43
 2082   25.30   51.42    3.19    5.27   42.65
 2083   16.68   44.42   16.79  -12.31   21.75
 2084    7.21  -14.36   -5.33   -5.79   40.44
 2085    8.89   15.20   18.19  -15.39   15.90
 2086   17.50   -9.25    1.83   22.23   42.97
 2087    9.83   17.64  -19.55   -2.83   38.64
 2088   12.61    6.43  -14.03  -11.97   56.76
 2089   22.92  -12.98   -5.82   12.02   76.47
 2090    9.73   48.09  -14.78    7.73    7.91
 2091   13.57   -5.62   -0.94   13.49   37.14
 2092   14.25   -1.80    6.28   18.99   26.91
 2093   -8.14  -14.98  -18.42    6.43   -6.65
 2094   12.03    6.21  -17.96    4.94   45.42
 2095   -1.41    2.13   13.62  -11.19   -8.41
 2096    1.19  -48.16   13.08    2.67   20.39
 2097   -5.72  -30.07  -16.88   10.30    6.02
 2098   26.98   17.80   -9.13   27.28   61.80
 2099   11.24  -21.20    2.43   32.39   22.10
 2100   25.19    7.12   46.08   25.43   18.94
